mode,entry_time,exit_time,entry_price,exit_price,leverage,net_pnl,return_on_margin_pct,exit_reason,hold_bars,balance_after_trade
SWING,2024-01-06 16:00:00,2024-01-07 16:00:00,43886.375519999994,44042.28978,3.0,31377.968716665586,0.9152711760098778,TIMEOUT,288,3459648.1403457727
SWING,2024-01-07 16:00:00,2024-01-08 16:00:00,44059.91022,45068.58448,3.0,231950.97828933923,6.714539109380873,TIMEOUT,288,3686409.6464245934
SWING,2024-01-08 16:00:00,2024-01-09 16:00:00,45086.61552,46844.529220000004,3.0,424812.65114866797,11.541062122664323,TIMEOUT,288,4105692.6831036247
SWING,2024-01-09 16:00:00,2024-01-09 21:25:00,46863.27078,44979.74220081024,3.0,-500207.5774581067,-12.201571200000014,SL,65,3599326.566620863
SNIPER,2024-01-09 21:25:00,2024-01-10 01:25:00,45908.679899999996,45692.659640000005,4.0,-74760.53301998648,-2.0812324844913714,TIMEOUT,48,3517367.3804676346
SWING,2024-01-10 08:00:00,2024-01-11 08:00:00,45797.757719999994,46065.785,3.0,56363.63264880572,1.604845300491773,TIMEOUT,288,3568454.962045739
SWING,2024-01-11 08:00:00,2024-01-12 08:00:00,46084.215,45906.71682,3.0,-46495.05259828223,-1.3049036752171763,TIMEOUT,288,3516607.227004388
SWING,2024-01-12 08:00:00,2024-01-12 16:15:00,45925.08318,44079.26223682944,3.0,-428437.7126253455,-12.201571200000012,SL,99,3082894.6035385355
SNIPER,2024-01-12 17:25:00,2024-01-12 21:25:00,43501.398539999995,43640.17022,4.0,33086.59987556336,1.0753823905911168,TIMEOUT,48,3109815.4142070217
SWING,2024-01-13 00:00:00,2024-01-14 00:00:00,42852.26874,42807.03688,3.0,-14485.549831851691,-0.4665007039251561,TIMEOUT,288,3090665.1412538593
SWING,2024-01-14 00:00:00,2024-01-15 00:00:00,42824.16312,41841.63,3.0,-216935.10359568318,-7.029587003403885,TIMEOUT,288,2869094.0399462953
